from_user,education_content_count,media_content_count,politics_content_count,bio_language,community,created_at,followers_count,is_art,is_education,is_feminist,is_media,is_politics,is_sports,macro_micro,mention_count,movement_in,name,negative,neutral,positive,retweet_count,tweets_count,user_description
1992cristy,0.0,0.0,0.0,11,0,2017-01-22 16:59:22,147.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,WhyIMarch,35,0.0,1.0,0.0,0,1.0,Nacida en el 92'. Maquilladora profesional y Quiromasajista.
19fisherman59,0.0,0.0,0.0,10,21,2017-01-27 17:10:02,1966.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,WhyIMarch,36,0.0,1.0,0.0,0,1.0,"Fishing, football, and #Coffee  http://t.co/qVUtjWR7SD"
1Band1D1Dream,0.0,0.0,0.0,10,1,2017-01-22 01:29:49,1050.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,WhyIMarch,37,0.0,1.0,1.0,0,2.0,"Real bands save fans, real fans save bands…Directioner, Mixer, 5SOSFam, Sherrio, Arianator, and Hometown Fan"
1D5SOSHEM,0.0,0.0,0.0,10,1,2017-01-22 05:17:51,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,WhyIMarch,38,0.0,1.0,0.0,0,1.0,Just a person living life
1Georden,0.0,0.0,0.0,10,25,2017-01-24 18:58:40,8828.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,WhyIMarch,39,0.0,0.0,1.0,0,1.0,"Survivor & proud Ambassador for @BrightRedOrgI take a photo now & then. From Newcastle, UKhttps://t.co/kGygkQz5VF Or: https://t.co/4ltX9uUaA3"
1HERONATION,0.0,0.0,0.0,10,1,2017-01-21 23:55:41,1293.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,WhyIMarch,40,0.0,0.0,1.0,0,1.0,'HeroNation Day'... a symbol of hope and inspiration for all!
1Lilybug,0.0,0.0,0.0,10,12,2017-01-25 16:01:25,3209.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,WhyIMarch,41,0.0,0.0,1.0,3,1.0,Can't wait any longer-time to be involved.  The Constitution can't defend you if you won't defend it! #Levin Time to use ARTICLE V!  #PJNET #COSProject
1MDA44,0.0,0.0,0.0,0,24,2017-01-22 18:07:13,2184.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,WhyIMarch,42,1.0,2.0,1.0,0,4.0,
1NadineSmith,0.0,0.0,0.0,10,46,2017-01-22 04:37:09,1214.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,WhyIMarch,43,0.0,1.0,0.0,0,1.0,Nadine Smith is a long-time civil rights activist dedicated to ending sexual orientation & gender identity- based discrimination. Exec Dir of Equality Florida
1PRINCESSLW,0.0,0.0,0.0,17,23,2017-01-24 01:59:17,177.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,WhyIMarch,44,0.0,1.0,0.0,0,1.0,👑💎🌸IRIDESCENT PRINCESS🌸💎👑
1SPIRIT_RISING,0.0,0.0,0.0,29,11,2017-01-23 05:19:53,154.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0,WhyIMarch,46,0.0,1.0,0.0,0,1.0,SPIRIT 👑 #RealestRealist💯✒Poet/Writer✒
1SilvaMaria,0.0,0.0,0.0,10,21,2017-01-27 17:50:05,1485.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,WhyIMarch,47,0.0,2.0,1.0,0,3.0,"@OfficialCharice followed me Oct 12, 2012 2:30a @FrankoSpanko737 @MartinaRG @queyzee @stamariaallen also followed me. ^8^"
1StarFleetCadet,0.0,0.0,0.0,10,2,2017-01-22 03:13:50,566.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,WhyIMarch,48,1.0,0.0,0.0,0,1.0,Peace....             Cadet in Training....                                together we are #TheResistance Following @MrSpock2017 is Logical...#Starfleet
1_800_partyru,0.0,0.0,0.0,10,10,2017-01-24 15:54:31,263.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,WhyIMarch,49,0.0,1.0,0.0,0,1.0,don't be jealous that i've been chatting online with babes all day !
1andonlyfran,0.0,0.0,0.0,10,19,2017-01-22 01:49:58,277.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,WhyIMarch,50,0.0,1.0,0.0,0,1.0,It's always Halloween
1catherinesiena,0.0,0.0,0.0,10,21,2017-01-27 17:57:13,9562.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,WhyIMarch,51,0.0,1.0,3.0,0,4.0,AMDG +JMJ+ Charity in all things! I see that world is rotten because of silence. St. Catherine of Siena I want to do heaven's work on earth Pray! *I block lists
1denmadrid,0.0,0.0,0.0,11,10,2017-01-22 23:18:45,1065.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,WhyIMarch,52,0.0,0.0,1.0,0,1.0,"URGENTE:  Exijo Verdad, Justicia, Reparación, Restitución y Recuperación.  Furia."
1dfangirlthing,0.0,0.0,0.0,10,1,2017-01-22 03:19:13,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,WhyIMarch,53,0.0,2.0,1.0,0,3.0,Drink untill it feels like you did the right thing
1gdgrrl,0.0,0.0,0.0,0,2,2017-01-22 01:01:43,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,WhyIMarch,54,1.0,0.0,0.0,0,1.0,
1lowbattery,0.0,0.0,0.0,10,8,2017-01-24 11:43:43,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,WhyIMarch,55,0.0,0.0,1.0,0,1.0,Born on July 2nd. (World UFO day).
1marchtoaction,1.0,0.0,0.0,10,1,2017-01-24 23:26:46,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,WhyIMarch,56,0.0,1.0,3.0,0,4.0,Fighting for equality does not stop at voicing your stance. Follow March On. to join our nation by staying active and taking local action!
1maryalice,0.0,0.0,0.0,0,32,2017-01-22 00:35:29,241.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,WhyIMarch,57,0.0,0.0,1.0,0,1.0,
1nkhed,0.0,0.0,0.0,10,3,2017-01-22 11:25:04,1722.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,WhyIMarch,58,0.0,1.0,0.0,0,1.0,We push and pull like a magnet do.
1realtiplloyd,0.0,0.0,0.0,10,1,2017-01-25 09:25:05,1033.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,WhyIMarch,59,0.0,2.0,1.0,0,3.0,"SC: Tìp Llöyd Promoter @loudfashion || proud fan of @sarkodie, @ManUtd , @realMadriden, @ChampionsLeague  @premierleague @Chelseafc||"
1since8,0.0,0.0,0.0,32,14,2017-01-21 23:53:27,1389.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,WhyIMarch,60,0.0,1.0,0.0,0,1.0,Love is love. × luci ×
1sofia_1,0.0,0.0,0.0,0,0,2017-01-21 23:40:33,1658.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,WhyIMarch,61,0.0,1.0,0.0,0,1.0,
1suesign,0.0,0.0,0.0,10,7,2017-01-22 18:27:53,29.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,WhyIMarch,62,0.0,1.0,0.0,0,1.0,"BSL/English Interpreter, ASLI member, Women's Equality Party WE member, music lover, holiday lover."
1walawko,0.0,0.0,0.0,10,3,2017-01-22 16:45:10,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,WhyIMarch,63,0.0,1.0,1.0,0,2.0,"stressed, depressed and too poor to be well dressed"
2011nightwalker,0.0,0.0,0.0,19,7,2017-01-22 08:07:53,234.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,WhyIMarch,64,0.0,1.0,0.0,0,1.0,物語ジャンキー(造語・笑)です。舞台、映画、小説、漫画など表現方法は問いません。面白い物語を愛してます♪英国Love♡好きな役者…8割ほど英国産。あとは、ふさふさの毛のわんことパンダも♡ふさふさじゃないけど（笑）BB-8も♡
2017WhatIf,0.0,0.0,0.0,10,12,2017-01-22 10:00:03,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,WhyIMarch,65,0.0,2.0,0.0,3,2.0,"Seeing how the new POTUS had such trouble booking performers, we would love to make this the unofficial song, especially for him.   https://t.co/pcqyNFZ1bd"
20_maral_02,0.0,0.0,0.0,8,0,2017-01-22 00:20:45,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,WhyIMarch,66,0.0,1.0,0.0,0,1.0,✌️✨✌️. Belieber-'09💜 28/11/2016🙏🏼
21EmoPhans,0.0,0.0,0.0,10,3,2017-01-22 21:37:12,538.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,WhyIMarch,67,0.0,1.0,1.0,0,2.0,"my Mexican life has been consumed by EMObands, tv shows, books and YouTubers . I stalk a lot, sorry in advance. [soulmate @SilentPage14 💜] 🐼"
22cc,0.0,0.0,0.0,10,15,2017-01-22 04:03:56,138.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,WhyIMarch,68,0.0,0.0,1.0,0,1.0,whitney. 26. she/her. sometimes i'm a superhero.
247kraftklub,0.0,0.0,0.0,8,1,2017-01-22 09:50:08,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,WhyIMarch,70,0.0,1.0,0.0,0,1.0,ich mag essen🍑
24joutten,0.0,0.0,0.0,0,6,2017-01-22 06:58:05,278.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,WhyIMarch,71,0.0,1.0,0.0,0,1.0,
24rf_24rf,0.0,0.0,0.0,2,1,2017-01-22 05:26:54,1124.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,WhyIMarch,72,0.0,0.0,1.0,0,1.0,‏حاول تنبهر وأنت داخل واعمل نفسك مش واخد بالك من الهري اللي هتشوفه..حب في الزنزانة✋.من عملاء#25يناير  ✌يا #الميدان#رشا_رزق❤
257syabe,0.0,0.0,0.0,10,6,2017-01-22 03:54:15,5906.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,WhyIMarch,73,0.0,1.0,0.0,0,1.0,Photographer：https://t.co/uFbibNN2vW / 闘え
28b1adc075f043c,0.0,0.0,0.0,0,8,2017-01-22 08:12:32,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,WhyIMarch,74,0.0,4.0,1.0,0,5.0,
2GirlsOnaBench,0.0,0.0,0.0,10,59,2017-01-26 16:58:52,14862.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,WhyIMarch,75,0.0,2.0,1.0,1,3.0,"Two women, trying to write, make films, maintain full time jobs, hilarity ensues! New blog coming soon..."
2HB3193632,0.0,0.0,0.0,10,6,2017-01-22 04:36:57,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,WhyIMarch,76,0.0,1.0,0.0,0,1.0,all the best things in life cannot be described...they must be experienced
2Racism,0.0,0.0,0.0,10,18,2017-01-22 12:04:42,324.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,WhyIMarch,77,0.0,1.0,0.0,0,1.0,CABLE STREET DIDN'T SIT AROUND WAITING - FARAGE NASTY HATE STIRRING DARK HEART. I WANT LOVE NOT HATE IN EUROPE.
2_foot_terror,0.0,0.0,0.0,10,10,2017-01-23 05:42:34,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,WhyIMarch,78,1.0,0.0,1.0,0,2.0,"New Pokemon, new money."
2ceeornot2cee,0.0,0.0,0.0,0,31,2017-01-22 01:17:04,33.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,WhyIMarch,79,0.0,2.0,0.0,0,2.0,
2eSpVJkGhhoY8Uj,0.0,0.0,0.0,19,0,2017-01-22 00:09:22,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,WhyIMarch,80,0.0,1.0,0.0,0,1.0,室蘭消防に入ってじいちゃんの後輩になる←➫Like➫プロレス/棚橋弘至 ハルクホーガン漫画家/安野モヨコ 永井豪 など漫画/ハッピーマニア デビルマン など歌手/Miley Cyrus
2fabgab,0.0,0.0,0.0,7,2,2017-01-22 04:32:15,277.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,WhyIMarch,81,1.0,0.0,0.0,0,1.0,let me be your killer king || 53 days to p!atd
2laniVereen,0.0,0.0,0.0,11,4,2017-01-22 17:18:12,319.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,WhyIMarch,83,1.0,0.0,0.0,0,1.0,your local nerd. Spelman '20
2momsliz,0.0,0.0,0.0,10,26,2017-01-25 07:03:29,93.0,1.0,0.0,0.0,0.0,1.0,0.0,1,0,WhyIMarch,84,0.0,2.0,0.0,0,2.0,"Author, artist, biological/adoptive/foster mom, political and fandom enthusiast."
2turntorres,0.0,0.0,0.0,10,2,2017-01-22 23:16:12,310.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,WhyIMarch,85,1.0,0.0,0.0,0,1.0,I am home. do not come here with expectations and try to make a vacation out of me.
304TheRevTJ,0.0,0.0,0.0,10,11,2017-01-23 02:43:45,1614.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,WhyIMarch,86,0.0,2.0,0.0,0,2.0,"I am a Christian, nurse, Liberal, & proud mom of 2. I  fight for what I believe in. I may bend but I don't break. I am random,especially abt God @IronmanMann"
333Cassandra,0.0,0.0,0.0,0,0,2017-01-22 22:07:03,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,WhyIMarch,87,0.0,12.0,0.0,1,12.0,
351blue,0.0,0.0,0.0,20,7,2017-01-22 07:30:05,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,WhyIMarch,88,0.0,1.0,0.0,0,1.0,0고딩0 스타트렉/셜록/닥터후 등등 파워풀잡덕 예전계@jiwon35120407
3Best1,0.0,0.0,0.0,11,0,2017-01-25 11:51:18,209.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,WhyIMarch,89,1.0,1.0,0.0,0,2.0,ENJOY👌🏻
3PennyMovies,0.0,0.0,0.0,10,51,2017-01-23 14:14:06,10217.0,1.0,1.0,0.0,0.0,0.0,0.0,1,0,WhyIMarch,90,0.0,2.0,1.0,0,3.0,"Sharing movie finds, quotes, links; on themes of art, artistic freedom, philosophy, science and anti-censorship.  Tweets by JSL."
3allisonmarie,0.0,0.0,0.0,10,0,2017-01-21 23:37:06,427.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,WhyIMarch,91,0.0,1.0,0.0,0,1.0,"just trying to make the world a better place, one tweet at a time."
3bdullah_zayed,0.0,0.0,0.0,10,1,2017-01-22 11:54:52,374.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,WhyIMarch,92,0.0,1.0,0.0,0,1.0,engineer by day artist by night
3ieberIsMy3oy,0.0,0.0,0.0,11,0,2017-01-22 02:08:41,4998.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,WhyIMarch,93,0.0,1.0,0.0,0,1.0,Cumpli mi mayor sueño el 10.22.2013 deje de ver a mi idolo atravez de una pantalla para verlo con mis propios ojos☻ Justin me siguió 3-01-16
402johanna,0.0,0.0,0.0,10,0,2017-01-22 00:30:04,539.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,WhyIMarch,94,0.0,1.0,0.0,0,1.0,sgate⚽️ // tcs
40daysforlife,0.0,0.0,0.0,10,21,2017-01-26 15:14:14,11057.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,WhyIMarch,95,0.0,1.0,0.0,12,1.0,"40 Days for Life is a pro-life campaign working to end abortion through prayer and fasting, peaceful vigils outside abortion centers, and community outreach."
415holgate,0.0,0.0,0.0,10,11,2017-01-24 00:05:48,2722.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,WhyIMarch,96,0.0,0.0,1.0,2,1.0,long time resident of San Francisco. supporter of equal rights for all and a member of the LGBTQ community. believe climate change is real. Blacklivesmatter!
4Seasons_Oneday,0.0,0.0,0.0,10,24,2017-01-22 15:20:18,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,WhyIMarch,97,0.0,1.0,0.0,0,1.0,Ex-pat Englishman. Has been described as 'quirky'. Passing witticisms frequently lost in translation.
4evrstardancer,0.0,0.0,0.0,10,22,2017-01-22 02:39:35,816.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,WhyIMarch,98,0.0,6.0,0.0,0,6.0,"Laugh, dance, sing and pray to save the world."
4shleym4rie,0.0,0.0,0.0,10,4,2017-01-22 21:19:03,824.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,WhyIMarch,99,1.0,0.0,0.0,0,1.0,marxist || 17 || (she/her)
500womensci,2.0,0.0,0.0,10,25,2017-01-23 13:29:02,1721.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,WhyIMarch,100,0.0,3.0,1.0,185,4.0,We are women. We are scientists.
505lq,0.0,0.0,0.0,0,8,2017-01-24 03:37:11,164.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,WhyIMarch,101,0.0,0.0,1.0,18,1.0,
50ShadesOfAlex,0.0,0.0,0.0,0,1,2017-01-22 18:51:00,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,WhyIMarch,102,0.0,0.0,1.0,0,1.0,
50shadsofbieber,0.0,0.0,0.0,10,5,2017-01-21 23:44:31,4678.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,WhyIMarch,103,0.0,1.0,1.0,0,2.0,Harry Potter
52shoes,0.0,0.0,0.0,10,19,2017-01-22 03:08:55,202.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,WhyIMarch,104,0.0,0.0,1.0,2,1.0,"Optimistic white girl, enjoys long walks, taking pictures of her dog, eating & being creative. Seeks like-minded thinkers."
56yenyen56,0.0,0.0,0.0,40,7,2017-01-22 07:17:08,4113.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,WhyIMarch,105,0.0,1.0,0.0,0,1.0,🎗NO MEANS NO ❌LOVE IS LOVE 🏳️‍🌈계정주 본인임
570Karen,0.0,0.0,0.0,0,9,2017-01-22 20:04:58,354.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,WhyIMarch,106,0.0,5.0,3.0,0,8.0,
5HMilaG,0.0,0.0,0.0,11,5,2017-01-21 23:44:22,810.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,WhyIMarch,107,0.0,0.0,1.0,0,1.0,¿Quien te hizo pensar que es fácil ser yo?
5Harmonkey,0.0,0.0,0.0,10,52,2017-01-22 19:19:03,479.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,WhyIMarch,108,1.0,0.0,1.0,0,2.0,"""They gon ditch u while u down then come back when u winning"" -Ty Dolla $ign |"
